ResourceService
acm
apigateway
athena
autoscaling
batch
cloud9
cloudformation
cloudfront
cloudhsm
cloudtrail
cloudwatch
codebuild
codecommit
codedeploy
codepipeline
cognito-idp
config
datapipeline
devicefarm
directconnect
dms
dynamodb
ec2
ecr
ecs
elasticache
elasticbeanstalk
elasticfilesystem
elasticloadbalancing
elasticmapreduce
es
events
firehose
gamelift
glacier
glue
guardduty
iam
inspector
iot
kinesis
kms
lambda
lightsail
logs
machinelearning
mediaconvert
medialive
mediapackage
mediastore
opsworks
organizations
rds
redshift
rekognition
resource-groups
route53
s3
sagemaker
secretsmanager
servicecatalog
ses
sns
sqs
ssm
storagegateway
sts
swf
transcribe
translate
waf
waf-regional
workmail
workspaces
xray
